Orbital position;Satellite;Norad;Ini;News;Channels;FTA;Longitude;Declination;Max Declination;Azimuth;Elevation;Last Updated;Download satinfo
4.0°E;Eutelsat 4B;25495;;;0;0;4.1°E;-0.25°;0.62°;N/A;N/A;13-3-2013 21:54;http://en.kingofsat.net/dl.php?pos=4E&fkhz=0
3.0°E;Eutelsat 3B;39773;;;97;81;3.09°E;-0.03°;0.06°;N/A;N/A;5-12-2017 09:44;http://en.kingofsat.net/dl.php?pos=3E&fkhz=0
3.0°E;Rascom QAF 1R;36831;;;20;20;2.9°E;0.00°;0.02°;N/A;N/A;18-11-2017 12:28;http://en.kingofsat.net/dl.php?pos=3E&fkhz=0
1.9°E;BulgariaSat;42801;;;76;19;1.9°E;0.01°;0.03°;N/A;N/A;9-12-2017 12:27;http://en.kingofsat.net/dl.php?pos=1.9E&fkhz=0
1.2°E;Eutelsat 48C Moving 2.41°W/day;25673;;;0;0;1.25°E;1.10°;1.51°;N/A;N/A;29-5-2013 22:11;http://en.kingofsat.net/dl.php?pos=1.2E&fkhz=0
0.8°W;Thor 7;40613;;;34;13;0.65°W;0.04°;0.04°;N/A;N/A;18-11-2017 15:20;http://en.kingofsat.net/dl.php?pos=0.8W&fkhz=0
0.8°W;Thor 5;32487;;;193;23;0.75°W;-0.01°;0.01°;N/A;N/A;6-12-2017 21:17;http://en.kingofsat.net/dl.php?pos=0.8W&fkhz=0
0.8°W;Thor 6;36033;;;577;91;0.83°W;0.01°;0.02°;N/A;N/A;3-12-2017 09:53;http://en.kingofsat.net/dl.php?pos=0.8W&fkhz=0
0.8°W;Intelsat 10-02;28358;;;271;86;0.98°W;0.00°;0.01°;N/A;N/A;28-10-2017 10:04;http://en.kingofsat.net/dl.php?pos=0.8W&fkhz=0
3.0°W;ABS-3A;40424;;;3;3;2.91°W;0.00°;0.00°;N/A;N/A;8-7-2017 09:05;http://en.kingofsat.net/dl.php?pos=3W&fkhz=0
4.0°W;Amos 7;40107;;;40;33;3.9°W;-0.02°;0.02°;N/A;N/A;9-12-2017 17:20;http://en.kingofsat.net/dl.php?pos=4W&fkhz=0
4.0°W;Amos 3;32794;;;198;40;4.1°W;-0.01°;0.01°;N/A;N/A;30-11-2017 09:57;http://en.kingofsat.net/dl.php?pos=4W&fkhz=0
4.3°W;Thor 3;25358;;;0;0;4.16°W;2.62°;5.72°;N/A;N/A;15-1-2011 09:49;http://en.kingofsat.net/dl.php?pos=4.3W&fkhz=0
5.0°W;Eutelsat 5 West A;27460;;;816;613;5.01°W;-0.04°;0.05°;N/A;N/A;9-12-2017 16:58;http://en.kingofsat.net/dl.php?pos=5W&fkhz=0
7.0°W;Nilesat 201;36830;;;434;323;7.01°W;0.05°;0.06°;N/A;N/A;10-12-2017 10:00;http://en.kingofsat.net/dl.php?pos=7W&fkhz=0
7.0°W;Nilesat 102;26470;;;0;0;7.04°W;1.67°;2.04°;N/A;N/A;4-3-2017 12:46;http://en.kingofsat.net/dl.php?pos=7W&fkhz=0
7.0°W;Eutelsat 7 West A;37816;;;783;737;7.31°W;-0.04°;0.06°;N/A;N/A;9-12-2017 18:51;http://en.kingofsat.net/dl.php?pos=7W&fkhz=0
8.0°W;Eutelsat 8 West D;31577;;;0;0;7.8°W;0.27°;0.40°;N/A;N/A;28-2-2017 13:33;http://en.kingofsat.net/dl.php?pos=8W&fkhz=0
8.0°W;Eutelsat 8 West B;40875;;;415;326;7.99°W;-0.01°;0.07°;N/A;N/A;9-12-2017 17:13;http://en.kingofsat.net/dl.php?pos=8W&fkhz=0
11.0°W;Express AM44;33595;;;9;9;10.97°W;0.00°;0.00°;N/A;N/A;1-8-2017 10:21;http://en.kingofsat.net/dl.php?pos=11W&fkhz=0
12.5°W;Eutelsat 12 West B;26927;;;85;85;12.53°W;-0.02°;0.06°;N/A;N/A;1-12-2017 20:39;http://en.kingofsat.net/dl.php?pos=12.5W&fkhz=0
14.0°W;Express AM 8;40895;;;18;18;13.99°W;-0.01°;0.02°;N/A;N/A;20-10-2017 10:22;http://en.kingofsat.net/dl.php?pos=14W&fkhz=0
15.0°W;Telstar 12 Vantage;41036;;;55;27;15.01°W;0.03°;0.03°;N/A;N/A;8-12-2017 10:27;http://en.kingofsat.net/dl.php?pos=15W&fkhz=0
18.0°W;Intelsat 901;26824;;;7;5;18.01°W;-0.03°;0.03°;N/A;N/A;27-8-2017 15:16;http://en.kingofsat.net/dl.php?pos=18W&fkhz=0
18.2°W;Intelsat 7 (IS-7);25473;;;0;0;18.16°W;-0.73°;2.21°;N/A;N/A;11-5-2014 10:50;http://en.kingofsat.net/dl.php?pos=18.2W&fkhz=0
20.0°W;Astra 2B;26494;;;0;0;19.6°W;2.29°;2.57°;N/A;N/A;26-2-2013 08:34;http://en.kingofsat.net/dl.php?pos=20W&fkhz=0
20.0°W;NSS 7;27414;;;28;20;19.97°W;2.08°;2.26°;N/A;N/A;9-7-2017 12:11;http://en.kingofsat.net/dl.php?pos=20W&fkhz=0
21.6°W;Eutelsat 16B Moving 0.98°W/day;25237;;;0;0;21.78°W;1.60°;2.75°;N/A;N/A;28-10-2014 08:20;http://en.kingofsat.net/dl.php?pos=21.6W&fkhz=0
22.0°W;SES 4;38087;;;91;75;21.99°W;-0.01°;0.02°;N/A;N/A;4-12-2017 17:56;http://en.kingofsat.net/dl.php?pos=22W&fkhz=0
24.5°W;Intelsat 905;27438;;;14;8;24.49°W;0.00°;0.01°;N/A;N/A;9-12-2017 16:58;http://en.kingofsat.net/dl.php?pos=24.5W&fkhz=0
27.5°W;Intelsat 907;27683;;;137;107;27.49°W;-0.02°;0.02°;N/A;N/A;25-3-2017 11:24;http://en.kingofsat.net/dl.php?pos=27.5W&fkhz=0
29.4°W;Intelsat 9 (IS-9);26451;;;0;0;29.44°W;3.51°;3.87°;N/A;N/A;8-4-2012 15:48;http://en.kingofsat.net/dl.php?pos=29.4W&fkhz=0
30.0°W;Hispasat 30W-5;37264;;;505;157;29.99°W;0.04°;0.05°;N/A;N/A;5-12-2017 13:18;http://en.kingofsat.net/dl.php?pos=30W&fkhz=0
30.0°W;Hispasat 30W-4;27528;;;154;76;30.01°W;-0.01°;0.02°;N/A;N/A;25-11-2017 11:52;http://en.kingofsat.net/dl.php?pos=30W&fkhz=0
31.5°W;Intelsat 903;27403;;;0;0;31.47°W;0.21°;0.21°;N/A;N/A;2-10-2017 10:47;http://en.kingofsat.net/dl.php?pos=31.5W&fkhz=0
